Address,USB0::0x0957::0x179B::MY58106372::0::INSTR
Model,DSO-X 2002A
Serial Number,MY58106372
Start Time,2025-05-29 11:33:15

Sample Count,Time(s),1(VOLT),2(VOLT),
914,-0.00162720005028,-0.188680887222,-0.0222770087421,
915,-0.00160159997176,-0.188680887222,-0.0202669613063,
916,-0.00157600000966,-0.188680887222,-0.0262971110642,
917,-0.00155040004756,-0.188680887222,-0.01825690642,
918,-0.00152479996905,-0.188680887222,-0.0323272608221,
919,-0.00149920000695,-0.168580412865,-0.0222770087421,
920,-0.00147360004485,-0.188680887222,-0.0202669613063,
921,-0.00144799996633,-0.168580412865,-0.0262971110642,
922,-0.00142240000423,-0.168580412865,-0.0202669613063,
923,-0.00139680004213,-0.168580412865,-0.0102167092264,
924,-0.00137119996361,-0.168580412865,-0.0303172059357,
925,-0.00134560000151,-0.188680887222,-0.0202669613063,
926,-0.00132000003941,-0.168580412865,-0.0202669613063,
927,-0.0012943999609,-0.148479878902,-0.0162468589842,
928,-0.0012687999988,-0.168580412865,-0.0222770087421,
929,-0.0012432000367,-0.148479878902,-0.0122267566621,
930,-0.00121759995818,-0.148479878902,-0.0202669613063,
931,-0.00119199999608,-0.128379404545,-0.0222770087421,
932,-0.00116640003398,-0.128379404545,-0.0242870561779,
933,-0.00114079995546,-0.148479878902,-0.0262971110642,
934,-0.00111519999336,-0.128379404545,-0.0202669613063,
935,-0.00108960003126,-0.148479878902,-0.0122267566621,
936,-0.00106399995275,-0.128379404545,-0.0222770087421,
937,-0.00103839999065,-0.128379404545,-0.0202669613063,
938,-0.00101280002855,-0.128379404545,-0.0142368115485,
939,-0.000987199950032,-0.108278870583,-0.01825690642,
940,-0.000961599987932,-0.108278870583,-0.0242870561779,
941,-0.000936000025831,-0.108278870583,-0.0162468589842,
942,-0.000910400005523,-0.108278870583,-0.0242870561779,
943,-0.000884799985215,-0.128379404545,-0.0162468589842,
944,-0.000859200023115,-0.128379404545,-0.0242870561779,
945,-0.000833600002807,-0.088178396225,-0.0162468589842,
946,-0.000807999982499,-0.108278870583,-0.0202669613063,
947,-0.000782400020398,-0.108278870583,-0.0142368115485,
948,-0.00075680000009,-0.088178396225,-0.0262971110642,
949,-0.000731199979782,-0.088178396225,-0.01825690642,
950,-0.000705600017682,-0.088178396225,-0.00820665434003,
951,-0.000679999997374,-0.088178396225,-0.0162468589842,
952,-0.000654399977066,-0.0680778622627,-0.0242870561779,
953,-0.000628800014965,-0.0680778622627,-0.0122267566621,
954,-0.000603199994657,-0.0680778622627,-0.01825690642,
955,-0.000577599974349,-0.0680778622627,-0.0122267566621,
956,-0.000552000012249,-0.0680778622627,-0.0202669613063,
957,-0.000526399991941,-0.0680778622627,-0.0162468589842,
958,-0.000500799971633,-0.0680778622627,-0.0162468589842,
959,-0.000475200009532,-0.0479773879051,-0.0162468589842,
960,-0.000449599989224,-0.0479773879051,-0.0202669613063,
961,-0.00042399999802,-0.0479773879051,-0.0222770087421,
962,-0.000398400006816,-0.0278768539429,-0.0122267566621,
963,-0.000372799986508,-0.0479773879051,-0.0122267566621,
964,-0.000347199995304,-0.0479773879051,-0.0162468589842,
965,-0.000321600004099,-0.0278768539429,-0.0222770087421,
966,-0.000296000012895,-0.0278768539429,-0.0142368115485,
967,-0.000270399992587,-0.0278768539429,-0.0202669613063,
968,-0.000244800001383,-0.0278768539429,-0.0162468589842,
969,-0.000219199995627,-0.0278768539429,-0.0122267566621,
970,-0.000193600004422,-0.00777637958527,-0.01825690642,
971,-0.000167999998666,-0.00777637958527,-0.0202669613063,
972,-0.00014239999291,-0.0278768539429,-0.0142368115485,
973,-0.000116800001706,-0.0278768539429,-0.0202669613063,
974,-9.12000032258e-05,-0.00777637958527,-0.0202669613063,
975,-6.55999974697e-05,-0.0278768539429,-0.0122267566621,
