Time	X-ray (ID 01) / Impulse Imp	X-ray (ID 01) / Voltage U	X-ray (ID 01) / Current I	X-ray (ID 01) / Detector angle θ_d	X-ray (ID 01) / Crystal angle θ_c
t/s	Imp/# / s	U/kV	I/mA	θ_d/°	θ_c/°

366.00	115	35.0	1.00	42.6	21.3
368.00	110	35.0	1.00	42.8	21.4
370.00	115	35.0	1.00	43.0	21.5
372.00	128	35.0	1.00	43.2	21.6
374.00	114	35.0	1.00	43.4	21.7
376.00	131	35.0	1.00	43.6	21.8
378.00	126	35.0	1.00	43.8	21.9
380.00	115	35.0	1.00	44.0	22.0
382.00	125	35.0	1.00	44.2	22.1
384.00	117	35.0	1.00	44.4	22.2
386.00	107	35.0	1.00	44.6	22.3
388.00	120	35.0	1.00	44.8	22.4
390.00	123	35.0	1.00	45.0	22.5
392.00	116	35.0	1.00	45.2	22.6
394.00	116	35.0	1.00	45.4	22.7
396.00	120	35.0	1.00	45.6	22.8
398.00	123	35.0	1.00	45.8	22.9
400.00	125	35.0	1.00	46.0	23.0
402.00	112	35.0	1.00	46.2	23.1
404.00	115	35.0	1.00	46.4	23.2
406.00	129	35.0	1.00	46.6	23.3
408.00	122	35.0	1.00	46.8	23.4
410.00	118	35.0	1.00	47.0	23.5
412.00	118	35.0	1.00	47.2	23.6
414.00	123	35.0	1.00	47.4	23.7
416.00	116	35.0	1.00	47.6	23.8
418.00	122	35.0	1.00	47.8	23.9
420.00	97	35.0	1.00	48.0	24.0
422.00	114	35.0	1.00	48.2	24.1
424.00	119	35.0	1.00	48.4	24.2
426.00	106	35.0	1.00	48.6	24.3
428.00	121	35.0	1.00	48.8	24.4
430.00	128	35.0	1.00	49.0	24.5
432.00	107	35.0	1.00	49.2	24.6
434.00	124	35.0	1.00	49.4	24.7
436.00	119	35.0	1.00	49.6	24.8
438.00	127	35.0	1.00	49.8	24.9
440.00	125	35.0	1.00	50.0	25.0
442.00	122	35.0	1.00	50.2	25.1
444.00	118	35.0	1.00	50.4	25.2
446.00	135	35.0	1.00	50.6	25.3
448.00	136	35.0	1.00	50.8	25.4
450.00	137	35.0	1.00	51.0	25.5
452.00	138	35.0	1.00	51.2	25.6
454.00	136	35.0	1.00	51.4	25.7
456.00	124	35.0	1.00	51.6	25.8
458.00	130	35.0	1.00	51.8	25.9
460.00	119	35.0	1.00	52.0	26.0
462.00	125	35.0	1.00	52.2	26.1
464.00	130	35.0	1.00	52.4	26.2
466.00	111	35.0	1.00	52.6	26.3
468.00	104	35.0	1.00	52.8	26.4
470.00	121	35.0	1.00	53.0	26.5
472.00	105	35.0	1.00	53.2	26.6
474.00	118	35.0	1.00	53.4	26.7
476.00	117	35.0	1.00	53.6	26.8
478.00	121	35.0	1.00	53.8	26.9
480.00	111	35.0	1.00	54.0	27.0
482.00	104	35.0	1.00	54.2	27.1
484.00	122	35.0	1.00	54.4	27.2
486.00	118	35.0	1.00	54.6	27.3
488.00	114	35.0	1.00	54.8	27.4
490.00	124	35.0	1.00	55.0	27.5
492.00	115	35.0	1.00	55.2	27.6
494.00	111	35.0	1.00	55.4	27.7
496.00	142	35.0	1.00	55.6	27.8
498.00	123	35.0	1.00	55.8	27.9
500.00	113	35.0	1.00	56.0	28.0
502.00	134	35.0	1.00	56.2	28.1
504.00	113	35.0	1.00	56.4	28.2
506.00	116	35.0	1.00	56.6	28.3
508.00	114	35.0	1.00	56.8	28.4
510.00	108	35.0	1.00	57.0	28.5
512.00	110	35.0	1.00	57.2	28.6
514.00	109	35.0	1.00	57.4	28.7
516.00	117	35.0	1.00	57.6	28.8
518.00	110	35.0	1.00	57.8	28.9
