Frank-Hertz Experiment								
								
Vr(V)= 1.0								
Cathode Heater Current (mA) = 290								
		 						
Va(V)_1	Ia(E-12 A)_1	T(c)_1	Va(V)_2	Ia(E-12 A)_2	T(c)_2	Va(V)_3	Ia(E-12 A)_3	T(c)_3
11.51	2.28	113.92	11.51	3.40	109.81	11.51	4.87	104.73
11.52	2.28	113.92	11.52	3.43	109.79	11.52	4.94	104.71
11.53	2.35	113.90	11.53	3.43	109.79	11.53	4.97	104.71
11.54	2.49	113.90	11.54	3.66	109.78	11.54	5.23	104.70
11.55	2.45	113.89	11.55	3.60	109.78	11.55	5.20	104.70
11.56	2.43	113.89	11.56	3.76	109.77	11.56	5.28	104.69
11.57	2.65	113.87	11.57	3.71	109.77	11.57	5.25	104.69
11.58	2.65	113.87	11.58	3.83	109.75	11.58	5.67	104.67
11.59	2.58	113.86	11.59	3.86	109.75	11.59	5.44	104.67
11.60	2.75	113.86	11.60	4.02	109.75	11.60	5.73	104.66
11.61	2.82	113.84	11.61	4.08	109.75	11.61	5.93	104.66
11.62	2.79	113.84	11.62	3.98	109.73	11.62	5.82	104.65
11.63	2.88	113.82	11.63	4.17	109.73	11.63	6.08	104.65
11.64	2.86	113.82	11.64	4.11	109.72	11.64	6.04	104.63
11.65	3.02	113.81	11.65	4.38	109.72	11.65	6.32	104.63
11.66	3.04	113.81	11.66	4.42	109.70	11.66	6.39	104.62
11.67	3.14	113.79	11.67	4.48	109.70	11.67	6.52	104.62
11.68	3.15	113.79	11.68	4.58	109.68	11.68	6.53	104.60
11.69	3.33	113.77	11.69	4.67	109.68	11.69	6.90	104.60
11.70	3.28	113.77	11.70	4.75	109.68	11.70	6.99	104.59
11.71	3.31	113.76	11.71	4.88	109.67	11.71	6.89	104.59
11.72	3.50	113.76	11.72	5.01	109.67	11.72	7.16	104.57
11.73	3.40	113.74	11.73	5.03	109.66	11.73	7.14	104.57
11.74	3.50	113.74	11.74	5.03	109.66	11.74	7.56	104.55
11.75	3.55	113.73	11.75	5.12	109.64	11.75	7.49	104.55
11.76	3.57	113.73	11.76	5.44	109.64	11.76	7.80	104.54
11.77	3.57	113.71	11.77	5.40	109.63	11.77	7.99	104.54
11.78	3.75	113.71	11.78	5.38	109.63	11.78	8.18	104.52
11.79	3.76	113.70	11.79	5.65	109.62	11.79	8.28	104.52
11.80	3.90	113.70	11.80	5.63	109.62	11.80	8.40	104.51
11.81	4.05	113.68	11.81	5.84	109.60	11.81	8.49	104.51
11.82	3.87	113.68	11.82	5.92	109.60	11.82	8.58	104.49
11.83	4.07	113.67	11.83	6.03	109.58	11.83	8.80	104.49
11.84	4.20	113.67	11.84	6.16	109.58	11.84	8.90	104.48
11.85	4.23	113.67	11.85	6.25	109.57	11.85	9.40	104.48
11.86	4.25	113.64	11.86	6.31	109.57	11.86	9.13	104.46
11.87	4.47	113.64	11.87	6.66	109.56	11.87	9.43	104.46
11.88	4.42	113.63	11.88	6.55	109.56	11.88	9.63	104.45
11.89	4.50	113.63	11.89	6.82	109.55	11.89	9.82	104.45
11.90	4.71	113.61	11.90	6.96	109.55	11.90	10.12	104.45
11.91	4.67	113.61	11.91	6.88	109.53	11.91	10.26	104.44
11.92	4.68	113.60	11.92	7.04	109.53	11.92	10.62	104.44
11.93	4.83	113.60	11.93	6.92	109.53	11.93	10.56	104.42
11.94	5.02	113.57	11.94	7.34	109.53	11.94	11.05	104.42
11.95	4.95	113.57	11.95	7.39	109.51	11.95	11.09	104.41
11.96	5.02	113.56	11.96	7.68	109.51	11.96	11.40	104.41
11.97	5.19	113.56	11.97	7.68	109.50	11.97	11.40	104.39
11.98	5.36	113.54	11.98	7.75	109.50	11.98	11.71	104.39
11.99	5.42	113.54	11.99	8.12	109.48	11.99	12.07	104.37
12.00	5.43	113.53	12.00	8.06	109.48	12.00	12.16	104.37
