LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
2.9,-3.040000,-3.040000,-1.286468666667e-09,1.684371030649e-11,3,-1.297720000000e-09;-1.262660000000e-09;-1.299026000000e-09,402,
2.9,-3.020000,-3.020000,-1.269557000000e-09,1.891382591298e-11,3,-1.258657000000e-09;-1.296161000000e-09;-1.253853000000e-09,402,
2.9,-3.000000,-3.000000,-1.272787333333e-09,1.774168434945e-11,3,-1.276650000000e-09;-1.249386000000e-09;-1.292326000000e-09,402,
2.9,-2.980000,-2.980000,-1.276636333333e-09,4.850902962909e-12,3,-1.271257000000e-09;-1.283013000000e-09;-1.275639000000e-09,402,
2.9,-2.960000,-2.960000,-1.275639000000e-09,1.957030347235e-11,3,-1.290641000000e-09;-1.247996000000e-09;-1.288280000000e-09,402,
2.9,-2.940000,-2.940000,-1.266523000000e-09,2.311909584449e-11,3,-1.284446000000e-09;-1.233880000000e-09;-1.281243000000e-09,402,
2.9,-2.920000,-2.920000,-1.255187666667e-09,1.620142533510e-11,3,-1.246016000000e-09;-1.277957000000e-09;-1.241590000000e-09,402,
2.9,-2.900000,-2.900000,-1.251297000000e-09,1.938708148914e-11,3,-1.241465000000e-09;-1.278378000000e-09;-1.234048000000e-09,402,
2.9,-2.880000,-2.880000,-1.256058333333e-09,3.781425862761e-12,3,-1.259162000000e-09;-1.258278000000e-09;-1.250735000000e-09,402,
2.9,-2.860000,-2.860000,-1.248150666667e-09,2.212837840622e-11,3,-1.228865000000e-09;-1.279137000000e-09;-1.236450000000e-09,402,
2.9,-2.840000,-2.840000,-1.255103333333e-09,2.066903194529e-11,3,-1.269655000000e-09;-1.225873000000e-09;-1.269782000000e-09,402,
2.9,-2.820000,-2.820000,-1.238767000000e-09,2.136392797841e-11,3,-1.217571000000e-09;-1.268011000000e-09;-1.230719000000e-09,402,
2.9,-2.800000,-2.800000,-1.244863666667e-09,1.789968240562e-11,3,-1.255243000000e-09;-1.219679000000e-09;-1.259669000000e-09,402,
2.9,-2.780000,-2.780000,-1.235059333333e-09,2.370004014530e-11,3,-1.220606000000e-09;-1.268475000000e-09;-1.216097000000e-09,402,
2.9,-2.760000,-2.760000,-1.225746333333e-09,1.842915907529e-11,3,-1.207627000000e-09;-1.251030000000e-09;-1.218582000000e-09,402,
2.9,-2.740000,-2.740000,-1.235017000000e-09,1.086341754084e-11,3,-1.250313000000e-09;-1.226126000000e-09;-1.228612000000e-09,402,
2.9,-2.720000,-2.720000,-1.236745000000e-09,1.785173879486e-11,3,-1.248923000000e-09;-1.211504000000e-09;-1.249808000000e-09,402,
2.9,-2.700000,-2.700000,-1.233373666667e-09,1.896470450307e-11,3,-1.245889000000e-09;-1.206573000000e-09;-1.247659000000e-09,402,
2.9,-2.680000,-2.680000,-1.236815000000e-09,1.891153015138e-11,3,-1.252378000000e-09;-1.210197000000e-09;-1.247870000000e-09,402,
2.9,-2.660000,-2.660000,-1.221462000000e-09,9.699834122293e-12,3,-1.227895000000e-09;-1.207753000000e-09;-1.228738000000e-09,402,
2.9,-2.640000,-2.640000,-1.210127000000e-09,2.043562932723e-11,3,-1.193342000000e-09;-1.238894000000e-09;-1.198145000000e-09,402,
2.9,-2.620000,-2.620000,-1.219327333333e-09,7.002099224915e-12,3,-1.213147000000e-09;-1.229118000000e-09;-1.215717000000e-09,402,
2.9,-2.600000,-2.600000,-1.212599000000e-09,1.592403548100e-11,3,-1.221954000000e-09;-1.190181000000e-09;-1.225662000000e-09,402,
2.9,-2.580000,-2.580000,-1.209663333333e-09,1.636111042143e-11,3,-1.223766000000e-09;-1.186726000000e-09;-1.218498000000e-09,402,
2.9,-2.560000,-2.560000,-1.209536666667e-09,4.701591669023e-12,3,-1.202991000000e-09;-1.213821000000e-09;-1.211798000000e-09,402,
2.9,-2.540000,-2.540000,-1.208483000000e-09,1.543600896173e-11,3,-1.213525000000e-09;-1.187568000000e-09;-1.224356000000e-09,402,
2.9,-2.520000,-2.520000,-1.199690333333e-09,1.810269448330e-11,3,-1.218035000000e-09;-1.175053000000e-09;-1.205983000000e-09,402,
2.9,-2.500000,-2.500000,-1.195350000000e-09,1.873250994039e-11,3,-1.177118000000e-09;-1.221111000000e-09;-1.187821000000e-09,402,
2.9,-2.480000,-2.480000,-1.184534666667e-09,1.131086705587e-11,3,-1.185925000000e-09;-1.197640000000e-09;-1.170039000000e-09,402,
2.9,-2.460000,-2.460000,-1.175403333333e-09,7.376630320742e-12,3,-1.172777000000e-09;-1.185460000000e-09;-1.167973000000e-09,402,
2.9,-2.440000,-2.440000,-1.190630333333e-09,1.634235446793e-11,3,-1.206067000000e-09;-1.168016000000e-09;-1.197808000000e-09,402,
2.9,-2.420000,-2.420000,-1.175952333333e-09,8.992932719024e-12,3,-1.171724000000e-09;-1.188454000000e-09;-1.167679000000e-09,402,
2.9,-2.400000,-2.400000,-1.183073333333e-09,1.814518754075e-11,3,-1.191993000000e-09;-1.157776000000e-09;-1.199451000000e-09,402,
2.9,-2.380000,-2.380000,-1.180348666667e-09,1.332610831747e-11,3,-1.184872000000e-09;-1.162243000000e-09;-1.193931000000e-09,402,
2.9,-2.360000,-2.360000,-1.158998000000e-09,1.597114800716e-11,3,-1.148927000000e-09;-1.181542000000e-09;-1.146525000000e-09,402,
2.9,-2.340000,-2.340000,-1.166906000000e-09,1.724952499829e-11,3,-1.156301000000e-09;-1.191234000000e-09;-1.153183000000e-09,402,
2.9,-2.320000,-2.320000,-1.173128666667e-09,1.099658948139e-11,3,-1.184745000000e-09;-1.158366000000e-09;-1.176275000000e-09,402,
2.9,-2.300000,-2.300000,-1.161625000000e-09,5.852347278372e-12,3,-1.161906000000e-09;-1.168648000000e-09;-1.154321000000e-09,402,
2.9,-2.280000,-2.280000,-1.155852000000e-09,8.518058503360e-12,3,-1.151456000000e-09;-1.148337000000e-09;-1.167763000000e-09,402,
2.9,-2.260000,-2.260000,-1.170235000000e-09,1.234507845257e-11,3,-1.177581000000e-09;-1.152846000000e-09;-1.180278000000e-09,402,
2.9,-2.240000,-2.240000,-1.161469666667e-09,1.481952876744e-11,3,-1.173409000000e-09;-1.140583000000e-09;-1.170417000000e-09,402,
2.9,-2.220000,-2.220000,-1.158225333333e-09,1.228666687466e-11,3,-1.173493000000e-09;-1.143407000000e-09;-1.157776000000e-09,402,
2.9,-2.200000,-2.200000,-1.145232333333e-09,7.238355353409e-12,3,-1.137591000000e-09;-1.154952000000e-09;-1.143154000000e-09,402,
2.9,-2.180000,-2.180000,-1.137746000000e-09,4.370830889736e-12,3,-1.133588000000e-09;-1.143786000000e-09;-1.135864000000e-09,402,
2.9,-2.160000,-2.160000,-1.132703000000e-09,7.930686897531e-12,3,-1.123011000000e-09;-1.142437000000e-09;-1.132661000000e-09,402,
2.9,-2.140000,-2.140000,-1.140190000000e-09,8.747653742576e-12,3,-1.152003000000e-09;-1.131102000000e-09;-1.137465000000e-09,402,
2.9,-2.120000,-2.120000,-1.131326666667e-09,6.458407973762e-12,3,-1.126551000000e-09;-1.140457000000e-09;-1.126972000000e-09,402,
2.9,-2.100000,-2.100000,-1.132534666667e-09,7.789647930997e-12,3,-1.134136000000e-09;-1.141173000000e-09;-1.122295000000e-09,402,
2.9,-2.080000,-2.080000,-1.131593333333e-09,4.215759823435e-12,3,-1.126509000000e-09;-1.131439000000e-09;-1.136832000000e-09,402,
2.9,-2.060000,-2.060000,-1.124163000000e-09,7.821640919057e-13,3,-1.124318000000e-09;-1.125034000000e-09;-1.123137000000e-09,402,
2.9,-2.040000,-2.040000,-1.116353333333e-09,3.374785853288e-12,3,-1.111676000000e-09;-1.117870000000e-09;-1.119514000000e-09,402,
2.9,-2.020000,-2.020000,-1.120707333333e-09,3.046679321637e-12,3,-1.120862000000e-09;-1.124359000000e-09;-1.116901000000e-09,402,
2.9,-2.000000,-2.000000,-1.115187000000e-09,3.200095102753e-12,3,-1.111296000000e-09;-1.119134000000e-09;-1.115131000000e-09,402,
2.9,-1.980000,-1.980000,-1.113600333333e-09,3.152074907457e-12,3,-1.109148000000e-09;-1.115637000000e-09;-1.116016000000e-09,402,
2.9,-1.960000,-1.960000,-1.101857333333e-09,6.031861201616e-12,3,-1.094230000000e-09;-1.102363000000e-09;-1.108979000000e-09,402,
2.9,-1.940000,-1.940000,-1.101155000000e-09,9.064399079182e-12,3,-1.092755000000e-09;-1.096969000000e-09;-1.113741000000e-09,402,
2.9,-1.920000,-1.920000,-1.099891000000e-09,4.550288562278e-12,3,-1.105776000000e-09;-1.099203000000e-09;-1.094694000000e-09,402,
2.9,-1.900000,-1.900000,-1.098191000000e-09,6.715103622928e-12,3,-1.091196000000e-09;-1.107251000000e-09;-1.096126000000e-09,402,
2.9,-1.880000,-1.880000,-1.090747000000e-09,8.448900677997e-12,3,-1.080999000000e-09;-1.101605000000e-09;-1.089637000000e-09,402,
2.9,-1.860000,-1.860000,-1.082543333333e-09,7.759429031114e-12,3,-1.090605000000e-09;-1.072065000000e-09;-1.084960000000e-09,402,
2.9,-1.840000,-1.840000,-1.083330000000e-09,5.582322276616e-12,3,-1.087193000000e-09;-1.087361000000e-09;-1.075436000000e-09,402,
2.9,-1.820000,-1.820000,-1.087347666667e-09,1.298286805328e-11,3,-1.101057000000e-09;-1.069916000000e-09;-1.091070000000e-09,402,
