LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
14.0,-0.490000,-0.490000,-1.660271000000e-10,1.816095008106e-11,3,-1.696652000000e-10;-1.421898000000e-10;-1.862263000000e-10
14.0,-0.480000,-0.480000,-1.527108000000e-10,3.170197315626e-12,3,-1.568967000000e-10;-1.492272000000e-10;-1.520085000000e-10
14.0,-0.470000,-0.470000,-1.439316666667e-10,5.158297908117e-12,3,-1.422741000000e-10;-1.386081000000e-10;-1.509128000000e-10
14.0,-0.460000,-0.460000,-1.447185333333e-10,1.073783007885e-11,3,-1.302229000000e-10;-1.558854000000e-10;-1.480473000000e-10
14.0,-0.450000,-0.450000,-1.373581333333e-10,7.128899631001e-12,3,-1.275683000000e-10;-1.443390000000e-10;-1.401671000000e-10
14.0,-0.440000,-0.440000,-1.241412000000e-10,6.107177620363e-12,3,-1.242395000000e-10;-1.166128000000e-10;-1.315713000000e-10
14.0,-0.430000,-0.430000,-1.080591666667e-10,1.894113634981e-12,3,-1.061209000000e-10;-1.106295000000e-10;-1.074271000000e-10
14.0,-0.420000,-0.420000,-9.817112333333e-11,5.561812178504e-12,3,-9.154168000000e-11;-1.051517000000e-10;-9.781999000000e-11
14.0,-0.410000,-0.410000,-9.033375333333e-11,2.752402171950e-12,3,-9.238439000000e-11;-8.644317000000e-11;-9.217370000000e-11
14.0,-0.400000,-0.400000,-1.010364233333e-10,7.914573830011e-12,3,-9.870486000000e-11;-9.272151000000e-11;-1.116829000000e-10
14.0,-0.390000,-0.390000,-8.678025333333e-11,9.373700750335e-12,3,-7.902714000000e-11;-8.134465000000e-11;-9.996897000000e-11
14.0,-0.380000,-0.380000,-6.574014333333e-11,6.932627860186e-12,3,-7.072629000000e-11;-5.593641000000e-11;-7.055773000000e-11
14.0,-0.370000,-0.370000,-5.870334000000e-11,1.495401926863e-12,3,-5.800108000000e-11;-5.732691000000e-11;-6.078203000000e-11
14.0,-0.360000,-0.360000,-5.691957000000e-11,8.623087586060e-12,3,-4.552866000000e-11;-5.884384000000e-11;-6.638621000000e-11
14.0,-0.350000,-0.350000,-3.829527000000e-11,2.627659130608e-13,3,-3.857613000000e-11;-3.836557000000e-11;-3.794411000000e-11
14.0,-0.340000,-0.340000,-3.198885000000e-11,2.120903160778e-12,3,-3.090730000000e-11;-3.495244000000e-11;-3.010681000000e-11
14.0,-0.330000,-0.330000,-1.916537066667e-11,1.126968899137e-11,3,-5.204212000000e-12;-3.280353000000e-11;-1.948837000000e-11
14.0,-0.320000,-0.320000,-9.179029333333e-12,3.980288894452e-12,3,-9.502094000000e-12;-1.388430000000e-11;-4.150694000000e-12
14.0,-0.310000,-0.310000,2.675336800000e-12,2.311263798305e-12,3,5.245665000000e-12;-3.585326000000e-13;3.138878000000e-12
14.0,-0.300000,-0.300000,2.004955333333e-11,3.241058653016e-12,3,2.433348000000e-11;1.649597000000e-11;1.931921000000e-11
14.0,-0.290000,-0.290000,2.872965666667e-11,1.106404249607e-11,3,1.371511000000e-11;4.005034000000e-11;3.242352000000e-11
14.0,-0.280000,-0.280000,4.498022666667e-11,3.795190948172e-12,3,4.089305000000e-11;5.003653000000e-11;4.401110000000e-11
14.0,-0.270000,-0.270000,4.937640666667e-11,7.208520687697e-12,3,4.047158000000e-11;4.953089000000e-11;5.812675000000e-11
14.0,-0.260000,-0.260000,7.040247333333e-11,7.728770335167e-12,3,6.908223000000e-11;8.045906000000e-11;6.166613000000e-11
14.0,-0.250000,-0.250000,8.335243666667e-11,1.923040067364e-12,3,8.218665000000e-11;8.606320000000e-11;8.180746000000e-11
14.0,-0.240000,-0.240000,8.561374000000e-11,5.514277666349e-12,3,7.940566000000e-11;9.280504000000e-11;8.463052000000e-11
14.0,-0.230000,-0.230000,1.051650666667e-10,3.006520146097e-12,3,1.027914000000e-10;1.094069000000e-10;1.032969000000e-10
14.0,-0.220000,-0.220000,1.241123333333e-10,5.222620809091e-12,3,1.169492000000e-10;1.261348000000e-10;1.292530000000e-10
14.0,-0.210000,-0.210000,1.410091000000e-10,3.992397708145e-12,3,1.415569000000e-10;1.358686000000e-10;1.456018000000e-10
14.0,-0.200000,-0.200000,1.537904666667e-10,7.366957184769e-12,3,1.606869000000e-10;1.571052000000e-10;1.435793000000e-10
14.0,-0.190000,-0.190000,1.759821666667e-10,6.241878070118e-12,3,1.824712000000e-10;1.675549000000e-10;1.779204000000e-10
14.0,-0.180000,-0.180000,1.894517666667e-10,8.805112575594e-12,3,1.848728000000e-10;2.017697000000e-10;1.817128000000e-10
14.0,-0.170000,-0.170000,1.994801666667e-10,9.181705372944e-13,3,1.993258000000e-10;1.984408000000e-10;2.006739000000e-10
14.0,-0.160000,-0.160000,2.227113333333e-10,8.108873357556e-12,3,2.247340000000e-10;2.119244000000e-10;2.314756000000e-10
14.0,-0.150000,-0.150000,2.466308000000e-10,1.131022181686e-11,3,2.345096000000e-10;2.436532000000e-10;2.617296000000e-10
14.0,-0.140000,-0.140000,2.575722000000e-10,7.827467033892e-12,3,2.522067000000e-10;2.686402000000e-10;2.518697000000e-10
14.0,-0.130000,-0.130000,2.761123000000e-10,6.694662394774e-12,3,2.773202000000e-10;2.673761000000e-10;2.836406000000e-10
14.0,-0.120000,-0.120000,3.050176333333e-10,5.954724103507e-12,3,3.131360000000e-10;2.990201000000e-10;3.028968000000e-10
14.0,-0.110000,-0.110000,3.210997666667e-10,8.072337281248e-12,3,3.110291000000e-10;3.214789000000e-10;3.307913000000e-10
14.0,-0.100000,-0.100000,3.583483666667e-10,2.427835343158e-11,3,3.925210000000e-10;3.383757000000e-10;3.441484000000e-10
14.0,-0.090000,-0.090000,3.505109333333e-10,2.105424410490e-11,3,3.386706000000e-10;3.800907000000e-10;3.327715000000e-10
14.0,-0.080000,-0.080000,3.926752333333e-10,4.697970881372e-12,3,3.960602000000e-10;3.959338000000e-10;3.860317000000e-10
14.0,-0.070000,-0.070000,4.009059333333e-10,5.242998038866e-12,3,4.076900000000e-10;3.949224000000e-10;4.001054000000e-10
14.0,-0.060000,-0.060000,4.337160666667e-10,7.934764709527e-12,3,4.376488000000e-10;4.226480000000e-10;4.408514000000e-10
14.0,-0.050000,-0.050000,4.525932333333e-10,1.054765787788e-11,3,4.403455000000e-10;4.660910000000e-10;4.513432000000e-10
14.0,-0.040000,-0.040000,4.871308000000e-10,2.096489403757e-11,3,5.011903000000e-10;4.574949000000e-10;5.027072000000e-10
14.0,-0.030000,-0.030000,5.071597000000e-10,2.914142072721e-12,3,5.094070000000e-10;5.090278000000e-10;5.030443000000e-10
14.0,-0.020000,-0.020000,5.299832333333e-10,4.058207979994e-12,3,5.343517000000e-10;5.310225000000e-10;5.245755000000e-10
14.0,-0.010000,-0.010000,5.664031000000e-10,1.387200566681e-11,3,5.643525000000e-10;5.505318000000e-10;5.843250000000e-10
14.0,0.000000,0.000000,5.879066000000e-10,2.011603995671e-11,3,5.654900000000e-10;5.839457000000e-10;6.142841000000e-10
14.0,0.100000,0.100000,8.609365333333e-10,9.760249072072e-12,3,8.614559000000e-10;8.487315000000e-10;8.726222000000e-10
14.0,0.200000,0.200000,1.186973333333e-09,8.657127480996e-12,3,1.174739000000e-09;1.193490000000e-09;1.192691000000e-09
14.0,0.300000,0.300000,1.521030666667e-09,9.456522275951e-12,3,1.528643000000e-09;1.507702000000e-09;1.526747000000e-09
14.0,0.400000,0.400000,1.853977333333e-09,1.493558034434e-11,3,1.863922000000e-09;1.832867000000e-09;1.865143000000e-09
14.0,0.500000,0.500000,2.183104333333e-09,1.479822255843e-11,3,2.203667000000e-09;2.169452000000e-09;2.176194000000e-09
14.0,0.600000,0.600000,2.512667666667e-09,1.420933135498e-11,3,2.531362000000e-09;2.509704000000e-09;2.496937000000e-09
14.0,0.700000,0.700000,2.828085666667e-09,6.435850233048e-12,3,2.818984000000e-09;2.832637000000e-09;2.832636000000e-09
14.0,0.800000,0.800000,3.147001000000e-09,1.131453563637e-11,3,3.136271000000e-09;3.162646000000e-09;3.142086000000e-09
14.0,0.900000,0.900000,3.461437000000e-09,1.423266920387e-11,3,3.475089000000e-09;3.441802000000e-09;3.467420000000e-09
