
Integration time [ms]:  60.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 328.59;  -18.250;  -12.000;    0.000
 329.19;   28.100;  -41.000;    0.000
 329.79;   -1.300;  -26.000;    0.000
 330.39;   -3.300;   -4.000;    0.000
 330.99;  -26.550;   41.000;    0.000
 331.58;   -4.600;  -45.000;    0.000
 332.18;  -12.950;  -26.000;    0.000
 332.78;    2.350;  -26.000;    0.000
 333.38;    2.150;  -15.000;    0.000
 333.98;   -6.200;   -6.000;    0.000
 334.57;   -6.500;  -38.000;    0.000
 335.17;   -8.000;  -28.000;    0.000
 335.77;   -0.950;   10.000;    0.000
 336.37;    5.950;  -30.000;    0.000
 336.97;    7.450;  -22.000;    0.000
 337.56;    0.600;   14.000;    0.000
 338.16;   -5.600;   -9.000;    0.000
 338.76;  -15.350;  -48.000;    0.000
 339.36;   -3.200;   24.000;    0.000
 339.96;    1.950;  -34.000;    0.000
 340.55;    6.800;  -14.000;    0.000
 341.15;   -4.800;   -3.000;    0.000
 341.75;    1.100;    3.000;    0.000
 342.35;  -16.900;   21.000;    0.000
 342.94;   -3.100;  -36.000;    0.000
 343.54;   -9.300;  -32.000;    0.000
 344.14;   -1.500;   13.000;    0.000
 344.74;   -0.950;   17.000;    0.000
 345.33;   -5.600;   -5.000;    0.000
 345.93;  -14.050;   13.000;    0.000
 346.53;  -11.100;   17.000;    0.000
 347.13;    1.200;   -8.000;    0.000
 347.72;  -13.000;  -35.000;    0.000
 348.32;    0.300;    3.000;    0.000
 348.92;    4.700;  -35.000;    0.000
 349.52;  -13.400;    8.000;    0.000
 350.11;    1.900;  -61.000;    0.000
 350.71;  -13.700;  -20.000;    0.000
 351.31;  -16.700;   -8.000;    0.000
 351.91;   -6.650;  -42.000;    0.000
 352.50;  -15.250;  -13.000;    0.000
 353.10;   -9.800;  -13.000;    0.000
