LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
5.0,-0.310000,-0.310000,1.931062333333e-09,1.882444252089e-11,3,1.916569000000e-09;1.918970000000e-09;1.957648000000e-09
5.0,-0.300000,-0.300000,2.020720666667e-09,3.673467553809e-11,3,2.057797000000e-09;1.970668000000e-09;2.033697000000e-09
5.0,-0.290000,-0.290000,2.086320333333e-09,2.604709082071e-11,3,2.109999000000e-09;2.050044000000e-09;2.098918000000e-09
5.0,-0.280000,-0.280000,2.138929666667e-09,3.126420105417e-11,3,2.112527000000e-09;2.182845000000e-09;2.121417000000e-09
5.0,-0.270000,-0.270000,2.193983666667e-09,2.623148660590e-11,3,2.187988000000e-09;2.228686000000e-09;2.165277000000e-09
5.0,-0.260000,-0.260000,2.255440000000e-09,1.316628246697e-11,3,2.244065000000e-09;2.248361000000e-09;2.273894000000e-09
5.0,-0.250000,-0.250000,2.266745666667e-09,2.447468201133e-11,3,2.267953000000e-09;2.296099000000e-09;2.236185000000e-09
5.0,-0.240000,-0.240000,2.325141666667e-09,2.326349744891e-11,3,2.308022000000e-09;2.309371000000e-09;2.358032000000e-09
5.0,-0.230000,-0.230000,2.391402000000e-09,2.050320691989e-11,3,2.397763000000e-09;2.363722000000e-09;2.412721000000e-09
5.0,-0.220000,-0.220000,2.437593666667e-09,7.763127949194e-12,3,2.448197000000e-09;2.434757000000e-09;2.429827000000e-09
5.0,-0.210000,-0.210000,2.469121666667e-09,1.649426155432e-11,3,2.446004000000e-09;2.477984000000e-09;2.483377000000e-09
5.0,-0.200000,-0.200000,2.523599000000e-09,2.840625195270e-11,3,2.561784000000e-09;2.493699000000e-09;2.515314000000e-09
5.0,-0.190000,-0.190000,2.555240000000e-09,1.167336166949e-11,3,2.538822000000e-09;2.564945000000e-09;2.561953000000e-09
5.0,-0.180000,-0.180000,2.636893000000e-09,6.304134251955e-12,3,2.628396000000e-09;2.643479000000e-09;2.638804000000e-09
5.0,-0.170000,-0.170000,2.693336000000e-09,2.355614994009e-12,3,2.696650000000e-09;2.691385000000e-09;2.691973000000e-09
5.0,-0.160000,-0.160000,2.773879333333e-09,9.752745060865e-12,3,2.760145000000e-09;2.779651000000e-09;2.781842000000e-09
5.0,-0.150000,-0.150000,2.808695333333e-09,3.189666079005e-11,3,2.853511000000e-09;2.790733000000e-09;2.781842000000e-09
5.0,-0.140000,-0.140000,2.890797666667e-09,1.762892655710e-11,3,2.893241000000e-09;2.868089000000e-09;2.911063000000e-09
5.0,-0.130000,-0.130000,2.929812333333e-09,1.014985340890e-11,3,2.943000000000e-09;2.928127000000e-09;2.918310000000e-09
5.0,-0.120000,-0.120000,3.002981000000e-09,1.552298375528e-11,3,2.991029000000e-09;3.024904000000e-09;2.993010000000e-09
5.0,-0.110000,-0.110000,3.057205333333e-09,1.087221634361e-11,3,3.045802000000e-09;3.071839000000e-09;3.053975000000e-09
5.0,-0.100000,-0.100000,3.094900000000e-09,1.960220448487e-11,3,3.107694000000e-09;3.067205000000e-09;3.109801000000e-09
5.0,-0.090000,-0.090000,3.124575000000e-09,8.534532676134e-12,3,3.123747000000e-09;3.135417000000e-09;3.114561000000e-09
5.0,-0.080000,-0.080000,3.217125666667e-09,1.514421901438e-11,3,3.214963000000e-09;3.236660000000e-09;3.199754000000e-09
5.0,-0.070000,-0.070000,3.312893000000e-09,1.154421693605e-11,3,3.296784000000e-09;3.318650000000e-09;3.323245000000e-09
5.0,-0.060000,-0.060000,3.354182000000e-09,1.082883413238e-11,3,3.339590000000e-09;3.365503000000e-09;3.357453000000e-09
5.0,-0.050000,-0.050000,3.442408000000e-09,1.135812863107e-11,3,3.429628000000e-09;3.440371000000e-09;3.457225000000e-09
5.0,-0.040000,-0.040000,3.446185000000e-09,3.069834374468e-11,3,3.423434000000e-09;3.425539000000e-09;3.489582000000e-09
5.0,-0.030000,-0.030000,3.501631333333e-09,2.838700031509e-11,3,3.499061000000e-09;3.537612000000e-09;3.468221000000e-09
5.0,-0.020000,-0.020000,3.563482666667e-09,2.861417837755e-11,3,3.552149000000e-09;3.535507000000e-09;3.602792000000e-09
5.0,-0.010000,-0.010000,3.642734000000e-09,1.399054433061e-11,3,3.637044000000e-09;3.661990000000e-09;3.629168000000e-09
5.0,0.000000,0.000000,3.695104000000e-09,2.441245654715e-11,3,3.688742000000e-09;3.668898000000e-09;3.727672000000e-09
5.0,0.100000,0.100000,4.390628333333e-09,2.737117637629e-11,3,4.369266000000e-09;4.373354000000e-09;4.429265000000e-09
5.0,0.200000,0.200000,5.190064333333e-09,1.897492170091e-11,3,5.176020000000e-09;5.177284000000e-09;5.216889000000e-09
5.0,0.300000,0.300000,5.965553333333e-09,2.831054682544e-11,3,5.926525000000e-09;5.992802000000e-09;5.977333000000e-09
5.0,0.400000,0.400000,6.837849333333e-09,3.588100022141e-11,3,6.831190000000e-09;6.884744000000e-09;6.797614000000e-09
5.0,0.500000,0.500000,7.902914666667e-09,3.849999744877e-11,3,7.954780000000e-09;7.862634000000e-09;7.891330000000e-09
5.0,0.600000,0.600000,8.736167000000e-09,2.653582548179e-11,3,8.706338000000e-09;8.731361000000e-09;8.770802000000e-09
5.0,0.700000,0.700000,9.840838000000e-09,4.992350048491e-11,3,9.800223000000e-09;9.911159000000e-09;9.811132000000e-09
5.0,0.800000,0.800000,1.078757000000e-08,5.580545194393e-11,3,1.080799000000e-08;1.071134000000e-08;1.084338000000e-08
5.0,0.900000,0.900000,1.191402000000e-08,1.301698662005e-10,3,1.181921000000e-08;1.182477000000e-08;1.209808000000e-08
5.0,1.000000,1.000000,1.293091333333e-08,1.291687290158e-10,3,1.275888000000e-08;1.307013000000e-08;1.296373000000e-08
5.0,1.100000,1.100000,1.412670000000e-08,1.286750654426e-10,3,1.409128000000e-08;1.429899000000e-08;1.398983000000e-08
5.0,1.200000,1.200000,1.527183000000e-08,1.396229701732e-10,3,1.535336000000e-08;1.538681000000e-08;1.507532000000e-08
5.0,1.300000,1.300000,1.666797333333e-08,4.792693768181e-11,3,1.670576000000e-08;1.660035000000e-08;1.669781000000e-08
5.0,1.400000,1.400000,1.740612000000e-08,6.791631762692e-11,3,1.748876000000e-08;1.732241000000e-08;1.740719000000e-08
5.0,1.500000,1.500000,1.860058000000e-08,1.094103617884e-10,3,1.875501000000e-08;1.853170000000e-08;1.851503000000e-08
