LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-0.630000,-0.630000,-1.821427100000e-10,1.716038778026e-11,10,-1.756911000000e-10;-2.088131000000e-10;-1.600993000000e-10;-1.839505000000e-10;-1.676423000000e-10;-1.877852000000e-10;-2.088553000000e-10;-1.753961000000e-10;-1.944855000000e-10;-1.587087000000e-10
0.0,-0.620000,-0.620000,-1.842791900000e-10,1.492495007010e-11,10,-1.887545000000e-10;-1.662517000000e-10;-1.952862000000e-10;-1.969296000000e-10;-1.661674000000e-10;-2.069589000000e-10;-1.678952000000e-10;-1.991630000000e-10;-1.681480000000e-10;-1.872374000000e-10
0.0,-0.610000,-0.610000,-1.805329600000e-10,1.484515191308e-11,10,-1.875324000000e-10;-2.060319000000e-10;-1.797786000000e-10;-2.049784000000e-10;-1.654511000000e-10;-1.822228000000e-10;-1.587508000000e-10;-1.753539000000e-10;-1.775874000000e-10;-1.676423000000e-10
0.0,-0.600000,-0.600000,-1.840347900000e-10,1.082465879393e-11,10,-1.950333000000e-10;-1.783459000000e-10;-1.963818000000e-10;-1.624591000000e-10;-1.878274000000e-10;-1.722356000000e-10;-1.951176000000e-10;-1.752697000000e-10;-1.895551000000e-10;-1.881224000000e-10
0.0,-0.590000,-0.590000,-1.815822200000e-10,1.357934873186e-11,10,-1.802000000000e-10;-1.970560000000e-10;-1.652825000000e-10;-1.917043000000e-10;-1.719827000000e-10;-1.981938000000e-10;-1.780509000000e-10;-1.964239000000e-10;-1.564331000000e-10;-1.804950000000e-10
0.0,-0.580000,-0.580000,-1.802632300000e-10,1.376817672795e-11,10,-1.677687000000e-10;-1.895130000000e-10;-1.681901000000e-10;-1.917463000000e-10;-1.823491000000e-10;-1.609421000000e-10;-1.953283000000e-10;-1.678109000000e-10;-2.044305000000e-10;-1.745533000000e-10
0.0,-0.570000,-0.570000,-1.822901800000e-10,1.288704549785e-11,10,-2.055683000000e-10;-1.552953000000e-10;-1.858468000000e-10;-1.767867000000e-10;-1.903558000000e-10;-1.740476000000e-10;-1.852990000000e-10;-1.724041000000e-10;-1.922942000000e-10;-1.850040000000e-10
0.0,-0.560000,-0.560000,-1.804823600000e-10,1.391448263438e-11,10,-2.021128000000e-10;-1.763653000000e-10;-1.973510000000e-10;-1.735840000000e-10;-1.654932000000e-10;-1.866896000000e-10;-1.613635000000e-10;-1.930948000000e-10;-1.630491000000e-10;-1.857203000000e-10
0.0,-0.550000,-0.550000,-1.775536300000e-10,1.089341452888e-11,10,-1.669681000000e-10;-1.775873000000e-10;-1.682323000000e-10;-1.678109000000e-10;-1.842876000000e-10;-1.739633000000e-10;-1.979409000000e-10;-1.764074000000e-10;-1.951597000000e-10;-1.671788000000e-10
0.0,-0.540000,-0.540000,-1.837481900000e-10,9.931342935520e-12,10,-1.921256000000e-10;-1.792729000000e-10;-2.004272000000e-10;-1.870688000000e-10;-1.775031000000e-10;-1.635547000000e-10;-1.939798000000e-10;-1.797786000000e-10;-1.859310000000e-10;-1.778402000000e-10
