LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-0.630000,-0.630000,2.999846000000e-09,6.164336064492e-11,5,2.955094000000e-09;3.036746000000e-09;2.951176000000e-09;3.104491000000e-09;2.951723000000e-09
0.0,-0.620000,-0.620000,3.440226400000e-09,1.077594939569e-10,5,3.487516000000e-09;3.291011000000e-09;3.500366000000e-09;3.340560000000e-09;3.581679000000e-09
0.0,-0.610000,-0.610000,3.817702600000e-09,7.292441847447e-11,5,3.712161000000e-09;3.907529000000e-09;3.759604000000e-09;3.879931000000e-09;3.829288000000e-09
0.0,-0.600000,-0.600000,4.245138200000e-09,1.365249113933e-10,5,4.116965000000e-09;4.422630000000e-09;4.105334000000e-09;4.394363000000e-09;4.186399000000e-09
0.0,-0.590000,-0.590000,4.703246000000e-09,1.397285867616e-10,5,4.588672000000e-09;4.869396000000e-09;4.587200000000e-09;4.879256000000e-09;4.591706000000e-09
0.0,-0.580000,-0.580000,5.235834000000e-09,1.121859208849e-10,5,5.168405000000e-09;5.296153000000e-09;5.137565000000e-09;5.429119000000e-09;5.147928000000e-09
0.0,-0.570000,-0.570000,5.856615000000e-09,1.225107013432e-10,5,5.896742000000e-09;5.752523000000e-09;5.917175000000e-09;5.686670000000e-09;6.029965000000e-09
0.0,-0.560000,-0.560000,6.411592400000e-09,1.181012263012e-10,5,6.325812000000e-09;6.487935000000e-09;6.338157000000e-09;6.607506000000e-09;6.298552000000e-09
0.0,-0.550000,-0.550000,7.102670800000e-09,1.688885497864e-10,5,7.219724000000e-09;6.875500000000e-09;7.256884000000e-09;6.918520000000e-09;7.242726000000e-09
0.0,-0.540000,-0.540000,7.758717400000e-09,8.007060235467e-11,5,7.623180000000e-09;7.859544000000e-09;7.725222000000e-09;7.798826000000e-09;7.786815000000e-09
0.0,-0.530000,-0.530000,8.552585600000e-09,7.280189366933e-11,5,8.643236000000e-09;8.595708000000e-09;8.485961000000e-09;8.588762000000e-09;8.449261000000e-09
0.0,-0.520000,-0.520000,9.299769000000e-09,1.095775788636e-10,5,9.445130000000e-09;9.146582000000e-09;9.274373000000e-09;9.400770000000e-09;9.231990000000e-09
