LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
3.5,-0.550000,-0.550000,6.481324500000e-09,5.918858275926e-11,10,6.507303000000e-09;6.496433000000e-09;6.516657000000e-09;6.514045000000e-09;6.423079000000e-09;6.546528000000e-09;6.423248000000e-09;6.484256000000e-09;6.548130000000e-09;6.353566000000e-09
3.5,-0.540000,-0.540000,7.071473800000e-09,6.564865064082e-11,10,7.140887000000e-09;7.074234000000e-09;7.166334000000e-09;7.031171000000e-09;6.951082000000e-09;6.992331000000e-09;7.148894000000e-09;7.070733000000e-09;7.048451000000e-09;7.090621000000e-09
3.5,-0.530000,-0.530000,7.615738100000e-09,5.151951851182e-11,10,7.654010000000e-09;7.575223000000e-09;7.575645000000e-09;7.568526000000e-09;7.599703000000e-09;7.639727000000e-09;7.569916000000e-09;7.710637000000e-09;7.572276000000e-09;7.691718000000e-09
3.5,-0.520000,-0.520000,8.357830200000e-09,5.630686543185e-11,10,8.267706000000e-09;8.294251000000e-09;8.416226000000e-09;8.344976000000e-09;8.341944000000e-09;8.417070000000e-09;8.294763000000e-09;8.441673000000e-09;8.369207000000e-09;8.390486000000e-09
3.5,-0.510000,-0.510000,8.959229600000e-09,5.701154181251e-11,10,8.922061000000e-09;8.974178000000e-09;8.961751000000e-09;9.111574000000e-09;8.915866000000e-09;8.944681000000e-09;8.974474000000e-09;8.968745000000e-09;8.896862000000e-09;8.922104000000e-09
3.5,-0.500000,-0.500000,9.694651600000e-09,6.506891974238e-11,10,9.771737000000e-09;9.682212000000e-09;9.790783000000e-09;9.660512000000e-09;9.646317000000e-09;9.799297000000e-09;9.593268000000e-09;9.666915000000e-09;9.672856000000e-09;9.662619000000e-09
3.5,-0.490000,-0.490000,1.049410300000e-08,7.640862268750e-11,10,1.058543000000e-08;1.055750000000e-08;1.036981000000e-08;1.053606000000e-08;1.041914000000e-08;1.039222000000e-08;1.059252000000e-08;1.045820000000e-08;1.053698000000e-08;1.049317000000e-08
3.5,-0.480000,-0.480000,1.126086100000e-08,8.991467415834e-11,10,1.139037000000e-08;1.129169000000e-08;1.139567000000e-08;1.125032000000e-08;1.116007000000e-08;1.116824000000e-08;1.126081000000e-08;1.135490000000e-08;1.117575000000e-08;1.116079000000e-08
3.5,-0.470000,-0.470000,1.214228600000e-08,9.088235694567e-11,10,1.224666000000e-08;1.206284000000e-08;1.200575000000e-08;1.221654000000e-08;1.200276000000e-08;1.219403000000e-08;1.215570000000e-08;1.221695000000e-08;1.224034000000e-08;1.208129000000e-08
3.5,-0.460000,-0.460000,1.300843700000e-08,9.732635008568e-11,10,1.293577000000e-08;1.313838000000e-08;1.289272000000e-08;1.310682000000e-08;1.303630000000e-08;1.287818000000e-08;1.312001000000e-08;1.309790000000e-08;1.296822000000e-08;1.291007000000e-08
3.5,-0.450000,-0.450000,1.390623500000e-08,1.071772789587e-10,10,1.374416000000e-08;1.377947000000e-08;1.393989000000e-08;1.396283000000e-08;1.399683000000e-08;1.373051000000e-08;1.394303000000e-08;1.405876000000e-08;1.394918000000e-08;1.395769000000e-08
3.5,-0.440000,-0.440000,1.488104000000e-08,1.427928078721e-10,10,1.467258000000e-08;1.496625000000e-08;1.509311000000e-08;1.471025000000e-08;1.501803000000e-08;1.476957000000e-08;1.485404000000e-08;1.498882000000e-08;1.473620000000e-08;1.500155000000e-08
3.5,-0.430000,-0.430000,1.585615400000e-08,1.405657786376e-10,10,1.569758000000e-08;1.577526000000e-08;1.594244000000e-08;1.595512000000e-08;1.605380000000e-08;1.594197000000e-08;1.561187000000e-08;1.598621000000e-08;1.570111000000e-08;1.589618000000e-08
3.5,-0.420000,-0.420000,1.685594600000e-08,1.231605767443e-10,10,1.702359000000e-08;1.668590000000e-08;1.701284000000e-08;1.692379000000e-08;1.669930000000e-08;1.692335000000e-08;1.687899000000e-08;1.666858000000e-08;1.686059000000e-08;1.688253000000e-08
3.5,-0.410000,-0.410000,1.785986100000e-08,1.282918168435e-10,10,1.792141000000e-08;1.810584000000e-08;1.797578000000e-08;1.773642000000e-08;1.789763000000e-08;1.787103000000e-08;1.794400000000e-08;1.773242000000e-08;1.771144000000e-08;1.770264000000e-08
3.5,-0.400000,-0.400000,1.905599700000e-08,1.727444519543e-10,10,1.924403000000e-08;1.887036000000e-08;1.926042000000e-08;1.910837000000e-08;1.891017000000e-08;1.923345000000e-08;1.888672000000e-08;1.900010000000e-08;1.880253000000e-08;1.924382000000e-08
3.5,-0.390000,-0.390000,2.025514000000e-08,1.109814759318e-10,10,2.036368000000e-08;2.018834000000e-08;2.043237000000e-08;2.018741000000e-08;2.007033000000e-08;2.037380000000e-08;2.016335000000e-08;2.016032000000e-08;2.029804000000e-08;2.031376000000e-08
3.5,-0.380000,-0.380000,2.171651600000e-08,3.916600090946e-10,10,2.133994000000e-08;2.141488000000e-08;2.166309000000e-08;2.113092000000e-08;2.153226000000e-08;2.252059000000e-08;2.155994000000e-08;2.193466000000e-08;2.201620000000e-08;2.205268000000e-08
3.5,-0.370000,-0.370000,2.304276300000e-08,1.818932520491e-10,10,2.308984000000e-08;2.279661000000e-08;2.326179000000e-08;2.291149000000e-08;2.309461000000e-08;2.281531000000e-08;2.322463000000e-08;2.325841000000e-08;2.281038000000e-08;2.316456000000e-08
3.5,-0.360000,-0.360000,2.435125900000e-08,2.217732458819e-10,10,2.454488000000e-08;2.408856000000e-08;2.401645000000e-08;2.464362000000e-08;2.414967000000e-08;2.446512000000e-08;2.468244000000e-08;2.435182000000e-08;2.419641000000e-08;2.437362000000e-08
3.5,-0.350000,-0.350000,2.608405300000e-08,1.677000484228e-10,10,2.625767000000e-08;2.581142000000e-08;2.582741000000e-08;2.632910000000e-08;2.610640000000e-08;2.618714000000e-08;2.602509000000e-08;2.608463000000e-08;2.597299000000e-08;2.623868000000e-08
3.5,-0.340000,-0.340000,2.745821000000e-08,1.811038413728e-10,10,2.765149000000e-08;2.751093000000e-08;2.753419000000e-08;2.724643000000e-08;2.759199000000e-08;2.714502000000e-08;2.752518000000e-08;2.720481000000e-08;2.768570000000e-08;2.748636000000e-08
3.5,-0.330000,-0.330000,2.928819600000e-08,5.521514138567e-10,10,2.870985000000e-08;2.920102000000e-08;2.864003000000e-08;2.871278000000e-08;2.868972000000e-08;3.013577000000e-08;2.958593000000e-08;3.006902000000e-08;2.967594000000e-08;2.946190000000e-08
3.5,-0.320000,-0.320000,3.118641900000e-08,3.841458538745e-10,10,3.143427000000e-08;3.090852000000e-08;3.136111000000e-08;3.078872000000e-08;3.124090000000e-08;3.169904000000e-08;3.182577000000e-08;3.068761000000e-08;3.071246000000e-08;3.120579000000e-08
3.5,-0.310000,-0.310000,3.254672600000e-08,1.829961391505e-10,10,3.244295000000e-08;3.275685000000e-08;3.238645000000e-08;3.280220000000e-08;3.251545000000e-08;3.242604000000e-08;3.265256000000e-08;3.242242000000e-08;3.226069000000e-08;3.280165000000e-08
3.5,-0.300000,-0.300000,3.428476600000e-08,2.328848247611e-10,10,3.409503000000e-08;3.458014000000e-08;3.424927000000e-08;3.443095000000e-08;3.390983000000e-08;3.397777000000e-08;3.449491000000e-08;3.449613000000e-08;3.411728000000e-08;3.449635000000e-08
3.5,-0.290000,-0.290000,3.590582200000e-08,2.271896290239e-10,10,3.615191000000e-08;3.571817000000e-08;3.584692000000e-08;3.577872000000e-08;3.602602000000e-08;3.562105000000e-08;3.614268000000e-08;3.624839000000e-08;3.597489000000e-08;3.554947000000e-08
3.5,-0.280000,-0.280000,3.750003900000e-08,2.472677367733e-10,10,3.789759000000e-08;3.728865000000e-08;3.725887000000e-08;3.726724000000e-08;3.725275000000e-08;3.771600000000e-08;3.741702000000e-08;3.734712000000e-08;3.773173000000e-08;3.782342000000e-08
3.5,-0.270000,-0.270000,3.923433500000e-08,2.018894643239e-10,10,3.932862000000e-08;3.895834000000e-08;3.884924000000e-08;3.920380000000e-08;3.914057000000e-08;3.952130000000e-08;3.942407000000e-08;3.918618000000e-08;3.929716000000e-08;3.943407000000e-08
3.5,-0.260000,-0.260000,4.121457900000e-08,2.841421161831e-10,10,4.086150000000e-08;4.112852000000e-08;4.141329000000e-08;4.140354000000e-08;4.153488000000e-08;4.135030000000e-08;4.131329000000e-08;4.093831000000e-08;4.067256000000e-08;4.152960000000e-08
3.5,-0.250000,-0.250000,4.307332800000e-08,3.296881626264e-10,10,4.343976000000e-08;4.338906000000e-08;4.273262000000e-08;4.264473000000e-08;4.287044000000e-08;4.290371000000e-08;4.331617000000e-08;4.265466000000e-08;4.354453000000e-08;4.323760000000e-08
3.5,-0.240000,-0.240000,4.497324200000e-08,3.232007329757e-10,10,4.478098000000e-08;4.479151000000e-08;4.483541000000e-08;4.452259000000e-08;4.560565000000e-08;4.538188000000e-08;4.501389000000e-08;4.499147000000e-08;4.519961000000e-08;4.460943000000e-08
3.5,-0.230000,-0.230000,4.703163200000e-08,2.485360756430e-10,10,4.656619000000e-08;4.676318000000e-08;4.679101000000e-08;4.738276000000e-08;4.730425000000e-08;4.704622000000e-08;4.708168000000e-08;4.700510000000e-08;4.729089000000e-08;4.708504000000e-08
3.5,-0.220000,-0.220000,4.888788800000e-08,4.501907220235e-10,10,4.861019000000e-08;4.837411000000e-08;4.948619000000e-08;4.846992000000e-08;4.864805000000e-08;4.955862000000e-08;4.860122000000e-08;4.884490000000e-08;4.960735000000e-08;4.867833000000e-08
