LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0.0,-0.480000,-0.480000,-1.845579500000e-10,1.102300465093e-11,10,-1.712247000000e-10;-1.868588000000e-10;-1.862267000000e-10;-2.031672000000e-10;-1.793157000000e-10;-2.005967000000e-10;-1.672635000000e-10;-1.756494000000e-10;-1.882494000000e-10;-1.870274000000e-10
0.0,-0.470000,-0.470000,-1.891217800000e-10,7.591533741452e-12,10,-2.055693000000e-10;-1.901036000000e-10;-1.976468000000e-10;-1.842040000000e-10;-1.899772000000e-10;-1.810013000000e-10;-1.793578000000e-10;-1.920421000000e-10;-1.882495000000e-10;-1.830662000000e-10
0.0,-0.460000,-0.460000,-1.886118500000e-10,5.428466070125e-12,10,-1.825183000000e-10;-1.881230000000e-10;-1.944020000000e-10;-1.946548000000e-10;-1.913257000000e-10;-1.886287000000e-10;-1.892608000000e-10;-1.949077000000e-10;-1.849203000000e-10;-1.773772000000e-10
0.0,-0.450000,-0.450000,-1.952995600000e-10,8.291793538578e-12,10,-1.865638000000e-10;-2.003859000000e-10;-2.024508000000e-10;-2.010602000000e-10;-2.019873000000e-10;-1.970990000000e-10;-1.993745000000e-10;-1.952448000000e-10;-1.944020000000e-10;-1.744273000000e-10
0.0,-0.440000,-0.440000,-1.848950400000e-10,5.042667395179e-12,10,-1.880387000000e-10;-1.768293000000e-10;-1.900193000000e-10;-1.877859000000e-10;-1.902300000000e-10;-1.802006000000e-10;-1.849625000000e-10;-1.832769000000e-10;-1.904829000000e-10;-1.771243000000e-10
0.0,-0.430000,-0.430000,-1.833274200000e-10,6.702781040852e-12,10,-1.883337000000e-10;-1.724046000000e-10;-1.787678000000e-10;-1.842039000000e-10;-1.972254000000e-10;-1.890501000000e-10;-1.828555000000e-10;-1.797371000000e-10;-1.767029000000e-10;-1.839932000000e-10
0.0,-0.420000,-0.420000,-1.875330600000e-10,1.180580213244e-11,10,-1.970990000000e-10;-2.012287000000e-10;-1.976046000000e-10;-1.778829000000e-10;-1.775879000000e-10;-1.689912000000e-10;-1.753123000000e-10;-1.807906000000e-10;-1.997117000000e-10;-1.991217000000e-10
0.0,-0.410000,-0.410000,-1.860750000000e-10,1.383856842986e-11,10,-1.774615000000e-10;-1.643979000000e-10;-1.939806000000e-10;-1.748487000000e-10;-1.992903000000e-10;-1.684855000000e-10;-1.800320000000e-10;-2.035043000000e-10;-2.008495000000e-10;-1.978997000000e-10
0.0,-0.400000,-0.400000,-1.794842100000e-10,9.431796845824e-12,10,-1.929692000000e-10;-1.930113000000e-10;-1.775036000000e-10;-1.815069000000e-10;-1.636394000000e-10;-1.863110000000e-10;-1.705926000000e-10;-1.783043000000e-10;-1.681905000000e-10;-1.828133000000e-10
0.0,-0.390000,-0.390000,-1.833021200000e-10,1.311728463965e-11,10,-2.097411000000e-10;-1.778407000000e-10;-1.920000000000e-10;-1.654514000000e-10;-1.809170000000e-10;-1.693283000000e-10;-1.957504000000e-10;-1.727838000000e-10;-1.925899000000e-10;-1.766186000000e-10
0.0,-0.380000,-0.380000,-1.867534400000e-10,1.318225516892e-11,10,-1.990796000000e-10;-1.667156000000e-10;-1.890080000000e-10;-1.946548000000e-10;-1.706768000000e-10;-2.066648000000e-10;-1.886287000000e-10;-1.881651000000e-10;-1.676427000000e-10;-1.962983000000e-10
0.0,-0.370000,-0.370000,-1.859359200000e-10,1.010070039807e-11,10,-1.760287000000e-10;-1.877016000000e-10;-1.700447000000e-10;-1.832347000000e-10;-1.732474000000e-10;-1.974361000000e-10;-1.838247000000e-10;-1.952448000000e-10;-1.908200000000e-10;-2.017765000000e-10
0.0,-0.360000,-0.360000,-1.845832000000e-10,1.027462324691e-11,10,-1.855103000000e-10;-1.788521000000e-10;-1.898086000000e-10;-1.818441000000e-10;-1.933484000000e-10;-1.992903000000e-10;-1.989531000000e-10;-1.748066000000e-10;-1.772086000000e-10;-1.662099000000e-10
0.0,-0.350000,-0.350000,-1.843598500000e-10,3.474753982730e-12,10,-1.847939000000e-10;-1.817598000000e-10;-1.846253000000e-10;-1.862688000000e-10;-1.862689000000e-10;-1.822233000000e-10;-1.845410000000e-10;-1.816755000000e-10;-1.789785000000e-10;-1.924635000000e-10
0.0,-0.340000,-0.340000,-1.878701200000e-10,6.424017160749e-12,10,-1.825183000000e-10;-1.815490000000e-10;-1.839089000000e-10;-1.806220000000e-10;-1.834875000000e-10;-1.865216000000e-10;-1.988267000000e-10;-1.944862000000e-10;-1.972674000000e-10;-1.895136000000e-10
0.0,-0.330000,-0.330000,-1.850003800000e-10,8.179073711833e-12,10,-1.883337000000e-10;-1.933484000000e-10;-1.800320000000e-10;-2.011866000000e-10;-1.900614000000e-10;-1.877016000000e-10;-1.731210000000e-10;-1.808327000000e-10;-1.764079000000e-10;-1.789785000000e-10
0.0,-0.320000,-0.320000,-1.853417100000e-10,6.802404369552e-12,10,-1.845832000000e-10;-1.761972000000e-10;-1.776722000000e-10;-1.845410000000e-10;-1.880808000000e-10;-1.914521000000e-10;-1.923792000000e-10;-1.938120000000e-10;-1.905671000000e-10;-1.741323000000e-10
0.0,-0.310000,-0.310000,-1.818861800000e-10,7.432227699660e-12,10,-1.847096000000e-10;-1.696233000000e-10;-1.980681000000e-10;-1.836561000000e-10;-1.815069000000e-10;-1.721938000000e-10;-1.823497000000e-10;-1.836561000000e-10;-1.775879000000e-10;-1.855103000000e-10
0.0,-0.300000,-0.300000,-1.809801400000e-10,4.127714600163e-12,10,-1.876594000000e-10;-1.827711000000e-10;-1.778828000000e-10;-1.815912000000e-10;-1.829818000000e-10;-1.768293000000e-10;-1.783885000000e-10;-1.730788000000e-10;-1.844567000000e-10;-1.841618000000e-10
0.0,-0.290000,-0.290000,-1.830956000000e-10,8.158783325717e-12,10,-1.968460000000e-10;-1.840775000000e-10;-1.965089000000e-10;-1.828554000000e-10;-1.802848000000e-10;-1.739216000000e-10;-1.767872000000e-10;-1.749330000000e-10;-1.754387000000e-10;-1.893029000000e-10
0.0,-0.280000,-0.280000,-1.795094600000e-10,8.101888205746e-12,10,-1.732474000000e-10;-1.723203000000e-10;-1.700868000000e-10;-1.845832000000e-10;-1.793156000000e-10;-1.898929000000e-10;-1.712668000000e-10;-1.866480000000e-10;-1.742166000000e-10;-1.935170000000e-10
0.0,-0.270000,-0.270000,-1.855734500000e-10,1.002348248457e-11,10,-2.035042000000e-10;-1.820969000000e-10;-1.853417000000e-10;-1.784306000000e-10;-1.857631000000e-10;-1.673898000000e-10;-1.934326000000e-10;-1.743852000000e-10;-1.933905000000e-10;-1.919999000000e-10
0.0,-0.260000,-0.260000,-1.863361800000e-10,1.523215324455e-11,10,-2.019450000000e-10;-1.767872000000e-10;-2.019028000000e-10;-1.681062000000e-10;-1.873223000000e-10;-1.737530000000e-10;-2.086454000000e-10;-1.864795000000e-10;-1.972674000000e-10;-1.611530000000e-10
0.0,-0.250000,-0.250000,-1.899813200000e-10,1.983688134873e-11,10,-1.978574000000e-10;-1.627122000000e-10;-1.973517000000e-10;-1.627122000000e-10;-2.071283000000e-10;-1.809169000000e-10;-2.142500000000e-10;-1.813383000000e-10;-2.219617000000e-10;-1.735845000000e-10
0.0,-0.240000,-0.240000,-1.818060700000e-10,2.028717094565e-11,10,-1.664206000000e-10;-2.155564000000e-10;-1.781778000000e-10;-2.004701000000e-10;-1.596781000000e-10;-1.983630000000e-10;-1.565176000000e-10;-1.857631000000e-10;-1.568968000000e-10;-2.002172000000e-10
0.0,-0.230000,-0.230000,-1.872801200000e-10,1.877528535686e-11,10,-2.043470000000e-10;-1.749330000000e-10;-2.145029000000e-10;-1.841196000000e-10;-2.128172000000e-10;-1.653671000000e-10;-1.983209000000e-10;-1.598045000000e-10;-1.891343000000e-10;-1.694547000000e-10
0.0,-0.220000,-0.220000,-1.855355100000e-10,1.722991249000e-11,10,-2.045156000000e-10;-1.624172000000e-10;-1.973096000000e-10;-1.735002000000e-10;-2.155985000000e-10;-1.830661000000e-10;-1.862266000000e-10;-1.593831000000e-10;-1.965089000000e-10;-1.768293000000e-10
0.0,-0.210000,-0.210000,-1.864499400000e-10,1.355279024550e-11,10,-2.094881000000e-10;-1.650721000000e-10;-1.892607000000e-10;-1.790206000000e-10;-1.808748000000e-10;-1.769557000000e-10;-1.917048000000e-10;-1.896821000000e-10;-1.741744000000e-10;-2.082661000000e-10
0.0,-0.200000,-0.200000,-1.817175700000e-10,9.637169224835e-12,10,-1.686962000000e-10;-1.894293000000e-10;-1.812119000000e-10;-1.860580000000e-10;-1.777985000000e-10;-1.783042000000e-10;-1.937276000000e-10;-1.661256000000e-10;-1.976467000000e-10;-1.781777000000e-10
0.0,-0.190000,-0.190000,-1.802890000000e-10,1.351367964975e-11,10,-1.852574000000e-10;-1.676848000000e-10;-1.903142000000e-10;-1.647771000000e-10;-1.987001000000e-10;-1.674320000000e-10;-1.947811000000e-10;-1.665470000000e-10;-1.973938000000e-10;-1.700025000000e-10
0.0,-0.180000,-0.180000,-1.872337500000e-10,1.493970685685e-11,10,-1.917048000000e-10;-1.749751000000e-10;-2.130701000000e-10;-1.848781000000e-10;-2.126908000000e-10;-1.827289000000e-10;-1.884600000000e-10;-1.717303000000e-10;-1.653671000000e-10;-1.867323000000e-10
0.0,-0.170000,-0.170000,-1.881565800000e-10,1.623125319375e-11,10,-1.777563000000e-10;-2.037570000000e-10;-1.818018000000e-10;-2.043048000000e-10;-1.969724000000e-10;-1.793577000000e-10;-2.142499000000e-10;-1.741744000000e-10;-1.916626000000e-10;-1.575289000000e-10
0.0,-0.160000,-0.160000,-1.829943700000e-10,1.384945906706e-11,10,-1.906092000000e-10;-1.576132000000e-10;-2.021135000000e-10;-1.715195000000e-10;-1.975202000000e-10;-1.708031000000e-10;-1.870272000000e-10;-1.713510000000e-10;-1.973516000000e-10;-1.840352000000e-10
0.0,-0.150000,-0.150000,-1.815868800000e-10,1.493482183200e-11,10,-1.902720000000e-10;-1.685697000000e-10;-2.063275000000e-10;-1.684854000000e-10;-1.949496000000e-10;-1.751436000000e-10;-1.912413000000e-10;-1.649456000000e-10;-1.950761000000e-10;-1.608580000000e-10
0.0,-0.140000,-0.140000,-1.831460800000e-10,1.554770259220e-11,10,-1.611108000000e-10;-2.081817000000e-10;-2.018606000000e-10;-1.703818000000e-10;-1.969302000000e-10;-1.648192000000e-10;-1.847938000000e-10;-1.838245000000e-10;-1.688226000000e-10;-1.907356000000e-10
