LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-0.340000,-0.340000,4.113937200000e-08,6.099568509330e-12,5,4.114595000000e-08;4.113555000000e-08;4.114741000000e-08;4.113560000000e-08;4.113235000000e-08
12.0,-0.330000,-0.330000,4.341938600000e-08,1.049554495965e-11,5,4.341750000000e-08;4.340029000000e-08;4.342578000000e-08;4.342248000000e-08;4.343088000000e-08
12.0,-0.320000,-0.320000,4.569397200000e-08,1.082329598597e-11,5,4.570526000000e-08;4.570190000000e-08;4.570080000000e-08;4.568315000000e-08;4.567875000000e-08
12.0,-0.310000,-0.310000,4.806023600000e-08,8.910687066664e-12,5,4.806413000000e-08;4.807133000000e-08;4.805212000000e-08;4.806600000000e-08;4.804760000000e-08
12.0,-0.300000,-0.300000,5.059281800000e-08,1.813819329481e-11,5,5.056301000000e-08;5.061126000000e-08;5.058536000000e-08;5.061181000000e-08;5.059265000000e-08
12.0,-0.290000,-0.290000,5.312487800000e-08,1.108602976723e-11,5,5.313399000000e-08;5.312301000000e-08;5.312316000000e-08;5.310615000000e-08;5.313808000000e-08
12.0,-0.280000,-0.280000,5.572486400000e-08,1.091207148070e-11,5,5.573588000000e-08;5.571866000000e-08;5.573492000000e-08;5.570685000000e-08;5.572801000000e-08
12.0,-0.270000,-0.270000,5.849421800000e-08,1.606954062816e-11,5,5.848217000000e-08;5.851909000000e-08;5.847896000000e-08;5.850751000000e-08;5.848336000000e-08
12.0,-0.260000,-0.260000,6.125520400000e-08,1.290254951551e-11,5,6.126068000000e-08;6.123703000000e-08;6.125642000000e-08;6.124672000000e-08;6.127517000000e-08
12.0,-0.250000,-0.250000,6.409215600000e-08,1.685141489608e-11,5,6.408795000000e-08;6.410256000000e-08;6.406705000000e-08;6.411718000000e-08;6.408604000000e-08
12.0,-0.240000,-0.240000,6.710440800000e-08,6.430515997962e-12,5,6.709519000000e-08;6.711149000000e-08;6.711176000000e-08;6.710321000000e-08;6.710039000000e-08
12.0,-0.230000,-0.230000,7.007235400000e-08,1.851894230241e-11,5,7.006275000000e-08;7.009309000000e-08;7.006344000000e-08;7.009481000000e-08;7.004768000000e-08
12.0,-0.220000,-0.220000,7.322486600000e-08,2.236882527090e-11,5,7.319536000000e-08;7.324881000000e-08;7.322456000000e-08;7.325061000000e-08;7.320499000000e-08
12.0,-0.210000,-0.210000,7.635121600000e-08,1.274684368775e-11,5,7.632644000000e-08;7.635828000000e-08;7.636032000000e-08;7.635173000000e-08;7.635931000000e-08
12.0,-0.200000,-0.200000,7.951781800000e-08,6.288568676573e-12,5,7.951924000000e-08;7.951797000000e-08;7.952764000000e-08;7.951626000000e-08;7.950798000000e-08
12.0,-0.190000,-0.190000,8.285658000000e-08,1.194958576688e-11,5,8.284523000000e-08;8.284767000000e-08;8.286010000000e-08;8.287824000000e-08;8.285166000000e-08
12.0,-0.180000,-0.180000,8.614716200000e-08,9.287379393562e-12,5,8.613961000000e-08;8.615896000000e-08;8.613352000000e-08;8.615031000000e-08;8.615341000000e-08
12.0,-0.170000,-0.170000,8.946995200000e-08,1.997096432324e-11,5,8.946289000000e-08;8.949561000000e-08;8.945512000000e-08;8.949108000000e-08;8.944506000000e-08
12.0,-0.160000,-0.160000,9.298062800000e-08,1.536817803124e-11,5,9.298886000000e-08;9.295562000000e-08;9.298078000000e-08;9.297572000000e-08;9.300216000000e-08
12.0,-0.150000,-0.150000,9.641069000000e-08,2.302986061617e-11,5,9.638222000000e-08;9.644114000000e-08;9.639994000000e-08;9.643457000000e-08;9.639558000000e-08
12.0,-0.140000,-0.140000,9.986664400000e-08,2.491740403814e-11,5,9.985792000000e-08;9.988410000000e-08;9.983886000000e-08;9.990592000000e-08;9.984642000000e-08
12.0,-0.130000,-0.130000,1.034838200000e-07,1.412422033246e-11,5,1.034671000000e-07;1.034840000000e-07;1.034769000000e-07;1.035096000000e-07;1.034815000000e-07
12.0,-0.120000,-0.120000,1.070013800000e-07,9.361922879409e-12,5,1.070087000000e-07;1.069922000000e-07;1.070121000000e-07;1.069884000000e-07;1.070055000000e-07
12.0,-0.110000,-0.110000,1.106593400000e-07,1.811414916578e-11,5,1.106560000000e-07;1.106321000000e-07;1.106771000000e-07;1.106501000000e-07;1.106814000000e-07
12.0,-0.100000,-0.100000,1.142152200000e-07,1.189073588976e-11,5,1.142304000000e-07;1.142042000000e-07;1.142197000000e-07;1.141987000000e-07;1.142231000000e-07
12.0,-0.090000,-0.090000,1.177728600000e-07,2.353334655335e-11,5,1.177419000000e-07;1.177932000000e-07;1.177725000000e-07;1.178042000000e-07;1.177525000000e-07
12.0,-0.080000,-0.080000,1.214672800000e-07,1.719039266567e-11,5,1.214502000000e-07;1.214923000000e-07;1.214686000000e-07;1.214787000000e-07;1.214466000000e-07
12.0,-0.070000,-0.070000,1.250472200000e-07,1.799904441909e-11,5,1.250312000000e-07;1.250769000000e-07;1.250345000000e-07;1.250594000000e-07;1.250341000000e-07
12.0,-0.060000,-0.060000,1.286513200000e-07,1.618312701550e-11,5,1.286691000000e-07;1.286290000000e-07;1.286675000000e-07;1.286364000000e-07;1.286546000000e-07
12.0,-0.050000,-0.050000,1.323625000000e-07,1.069504558195e-11,5,1.323715000000e-07;1.323702000000e-07;1.323576000000e-07;1.323696000000e-07;1.323436000000e-07
12.0,-0.040000,-0.040000,1.359946400000e-07,8.567986928093e-12,5,1.359856000000e-07;1.360001000000e-07;1.359980000000e-07;1.359837000000e-07;1.360058000000e-07
12.0,-0.030000,-0.030000,1.396018000000e-07,1.131494586819e-11,5,1.395997000000e-07;1.395878000000e-07;1.396094000000e-07;1.395929000000e-07;1.396192000000e-07
12.0,-0.020000,-0.020000,1.433344200000e-07,1.160868640286e-11,5,1.433264000000e-07;1.433479000000e-07;1.433160000000e-07;1.433424000000e-07;1.433394000000e-07
12.0,-0.010000,-0.010000,1.469557600000e-07,2.485402180735e-11,5,1.469684000000e-07;1.469299000000e-07;1.469673000000e-07;1.469240000000e-07;1.469892000000e-07
12.0,0.000000,0.000000,1.506765666667e-07,1.828703244256e-11,3,1.506626000000e-07;1.507024000000e-07;1.506647000000e-07
12.0,0.100000,0.100000,1.866575333333e-07,2.426744504246e-11,3,1.866369000000e-07;1.866916000000e-07;1.866441000000e-07
12.0,0.200000,0.200000,2.200292000000e-07,2.384575433909e-11,3,2.200211000000e-07;2.200616000000e-07;2.200049000000e-07
12.0,0.300000,0.300000,2.511673000000e-07,6.897825744386e-12,3,2.511766000000e-07;2.511652000000e-07;2.511601000000e-07
12.0,0.400000,0.400000,2.810712666667e-07,1.358831197103e-11,3,2.810680000000e-07;2.810893000000e-07;2.810565000000e-07
12.0,0.500000,0.500000,3.096551333333e-07,1.016672131133e-11,3,3.096677000000e-07;3.096549000000e-07;3.096428000000e-07
12.0,0.600000,0.600000,3.367125666667e-07,5.762136949259e-12,3,3.367198000000e-07;3.367057000000e-07;3.367122000000e-07
12.0,0.700000,0.700000,3.621525333333e-07,1.485403050429e-11,3,3.621351000000e-07;3.621511000000e-07;3.621714000000e-07
12.0,0.800000,0.800000,3.858416333333e-07,1.845794017641e-11,3,3.858274000000e-07;3.858677000000e-07;3.858298000000e-07
12.0,0.900000,0.900000,4.080746333333e-07,1.758945391105e-11,3,4.080883000000e-07;4.080498000000e-07;4.080858000000e-07
12.0,1.000000,1.000000,4.287272000000e-07,2.315527297758e-11,3,4.287192000000e-07;4.287587000000e-07;4.287037000000e-07
