LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
4.1,-3.780000,-3.780000,-1.225938000000e-08,2.814332366062e-12,3,-1.225687000000e-08;-1.225796000000e-08;-1.226331000000e-08,550,RCA 929  green 4.1V
4.1,-3.760000,-3.760000,-1.226433666667e-08,2.105553503371e-12,3,-1.226158000000e-08;-1.226474000000e-08;-1.226669000000e-08,550,RCA 929  green 4.1V
4.1,-3.740000,-3.740000,-1.225569333333e-08,4.717911496509e-12,3,-1.226222000000e-08;-1.225123000000e-08;-1.225363000000e-08,550,RCA 929  green 4.1V
4.1,-3.720000,-3.720000,-1.224698000000e-08,2.437389313726e-12,3,-1.224545000000e-08;-1.224507000000e-08;-1.225042000000e-08,550,RCA 929  green 4.1V
4.1,-3.700000,-3.700000,-1.224507333333e-08,3.573124993926e-12,3,-1.224204000000e-08;-1.224309000000e-08;-1.225009000000e-08,550,RCA 929  green 4.1V
4.1,-3.680000,-3.680000,-1.224228666667e-08,7.964966345748e-12,3,-1.223255000000e-08;-1.224225000000e-08;-1.225206000000e-08,550,RCA 929  green 4.1V
4.1,-3.660000,-3.660000,-1.223388000000e-08,7.376412859017e-12,3,-1.223230000000e-08;-1.222574000000e-08;-1.224360000000e-08,550,RCA 929  green 4.1V
4.1,-3.640000,-3.640000,-1.223768333333e-08,3.314034131120e-12,3,-1.224098000000e-08;-1.223892000000e-08;-1.223315000000e-08,550,RCA 929  green 4.1V
4.1,-3.620000,-3.620000,-1.224706666667e-08,2.140817964133e-11,3,-1.225013000000e-08;-1.221945000000e-08;-1.227162000000e-08,550,RCA 929  green 4.1V
4.1,-3.600000,-3.600000,-1.223131000000e-08,1.052863080684e-11,3,-1.222607000000e-08;-1.224600000000e-08;-1.222186000000e-08,550,RCA 929  green 4.1V
4.1,-3.580000,-3.580000,-1.222655666667e-08,6.804362979410e-12,3,-1.221865000000e-08;-1.222576000000e-08;-1.223526000000e-08,550,RCA 929  green 4.1V
4.1,-3.560000,-3.560000,-1.222492333333e-08,1.493635906847e-11,3,-1.222742000000e-08;-1.220551000000e-08;-1.224184000000e-08,550,RCA 929  green 4.1V
4.1,-3.540000,-3.540000,-1.222549000000e-08,9.203807183262e-12,3,-1.223083000000e-08;-1.221254000000e-08;-1.223310000000e-08,550,RCA 929  green 4.1V
4.1,-3.520000,-3.520000,-1.221909000000e-08,7.173358116438e-12,3,-1.221713000000e-08;-1.221145000000e-08;-1.222869000000e-08,550,RCA 929  green 4.1V
4.1,-3.500000,-3.500000,-1.221344000000e-08,1.387149595393e-11,3,-1.221280000000e-08;-1.223074000000e-08;-1.219678000000e-08,550,RCA 929  green 4.1V
4.1,-3.480000,-3.480000,-1.220584333333e-08,1.013484528194e-11,3,-1.220555000000e-08;-1.221840000000e-08;-1.219358000000e-08,550,RCA 929  green 4.1V
4.1,-3.460000,-3.460000,-1.220400000000e-08,7.050650088230e-12,3,-1.220310000000e-08;-1.221305000000e-08;-1.219585000000e-08,550,RCA 929  green 4.1V
4.1,-3.440000,-3.440000,-1.220824000000e-08,7.782561703364e-12,3,-1.221342000000e-08;-1.219724000000e-08;-1.221406000000e-08,550,RCA 929  green 4.1V
4.1,-3.420000,-3.420000,-1.219723000000e-08,1.368962624277e-11,3,-1.218751000000e-08;-1.221659000000e-08;-1.218759000000e-08,550,RCA 929  green 4.1V
4.1,-3.400000,-3.400000,-1.219192000000e-08,1.581603195074e-11,3,-1.218215000000e-08;-1.221423000000e-08;-1.217938000000e-08,550,RCA 929  green 4.1V
4.1,-3.380000,-3.380000,-1.219144000000e-08,2.911892969645e-11,3,-1.216433000000e-08;-1.223184000000e-08;-1.217815000000e-08,550,RCA 929  green 4.1V
4.1,-3.360000,-3.360000,-1.217728666667e-08,3.401243922776e-11,3,-1.215490000000e-08;-1.222535000000e-08;-1.215161000000e-08,550,RCA 929  green 4.1V
4.1,-3.340000,-3.340000,-1.218228333333e-08,6.408704150519e-12,3,-1.217857000000e-08;-1.217698000000e-08;-1.219130000000e-08,550,RCA 929  green 4.1V
