LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
3.1,-3.880000,-3.880000,-2.965913666667e-07,2.889444391055e-12,3,-2.965942000000e-07;-2.965925000000e-07;-2.965874000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.860000,-3.860000,-2.965747666667e-07,6.135325763354e-12,3,-2.965697000000e-07;-2.965834000000e-07;-2.965712000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.840000,-3.840000,-2.965714666667e-07,1.250928544011e-11,3,-2.965795000000e-07;-2.965811000000e-07;-2.965538000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.820000,-3.820000,-2.965451666667e-07,3.813426572271e-12,3,-2.965401000000e-07;-2.965493000000e-07;-2.965461000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.800000,-3.800000,-2.965249000000e-07,1.820128200613e-11,3,-2.965133000000e-07;-2.965108000000e-07;-2.965506000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.780000,-3.780000,-2.965165000000e-07,3.386000590668e-11,3,-2.964690000000e-07;-2.965455000000e-07;-2.965350000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.760000,-3.760000,-2.965447000000e-07,6.074059597995e-11,3,-2.965178000000e-07;-2.964875000000e-07;-2.966288000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.740000,-3.740000,-2.965147333333e-07,2.425329301818e-12,3,-2.965171000000e-07;-2.965114000000e-07;-2.965157000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.720000,-3.720000,-2.964726666667e-07,1.795296323421e-11,3,-2.964921000000e-07;-2.964771000000e-07;-2.964488000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.700000,-3.700000,-2.964329000000e-07,8.001666493092e-12,3,-2.964329000000e-07;-2.964231000000e-07;-2.964427000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.680000,-3.680000,-2.964009333333e-07,9.878033992416e-12,3,-2.964047000000e-07;-2.964107000000e-07;-2.963874000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.660000,-3.660000,-2.963653666667e-07,1.519963449852e-11,3,-2.963722000000e-07;-2.963796000000e-07;-2.963443000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.640000,-3.640000,-2.963608000000e-07,1.251905214730e-11,3,-2.963785000000e-07;-2.963516000000e-07;-2.963523000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.620000,-3.620000,-2.963159666667e-07,1.056735013562e-11,3,-2.963080000000e-07;-2.963090000000e-07;-2.963309000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.600000,-3.600000,-2.963181666667e-07,1.248581417273e-11,3,-2.963006000000e-07;-2.963285000000e-07;-2.963254000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.580000,-3.580000,-2.963205000000e-07,1.192727965632e-11,3,-2.963343000000e-07;-2.963052000000e-07;-2.963220000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.560000,-3.560000,-2.962877333333e-07,7.734913631637e-12,3,-2.962984000000e-07;-2.962845000000e-07;-2.962803000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.540000,-3.540000,-2.961986666667e-07,4.991548412622e-12,3,-2.961928000000e-07;-2.962050000000e-07;-2.961982000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.520000,-3.520000,-2.962008666667e-07,1.583799931250e-11,3,-2.961993000000e-07;-2.961823000000e-07;-2.962210000000e-07,402,RCA 929 3.09V 23 mA
