LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
4.6,-3.480000,-3.480000,-2.041546333333e-09,4.118078057649e-12,3,-2.035745000000e-09;-2.044890000000e-09;-2.044004000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.460000,-3.460000,-2.040549000000e-09,4.650749688670e-12,3,-2.046069000000e-09;-2.034692000000e-09;-2.040886000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.440000,-3.440000,-2.035042000000e-09,3.506082809442e-12,3,-2.034607000000e-09;-2.039537000000e-09;-2.030982000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.420000,-3.420000,-2.035225333333e-09,6.253043703314e-13,3,-2.034607000000e-09;-2.034987000000e-09;-2.036082000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.400000,-3.400000,-2.031475000000e-09,5.065539326337e-12,3,-2.024662000000e-09;-2.032964000000e-09;-2.036799000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.380000,-3.380000,-2.030590000000e-09,3.321060473202e-12,3,-2.026558000000e-09;-2.030520000000e-09;-2.034692000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.360000,-3.360000,-2.034144000000e-09,1.046897712291e-11,3,-2.030815000000e-09;-2.023315000000e-09;-2.048302000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.340000,-3.340000,-2.030842666667e-09,3.179201821562e-12,3,-2.028287000000e-09;-2.028917000000e-09;-2.035324000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.320000,-3.320000,-2.023567333333e-09,3.883649515025e-12,3,-2.018596000000e-09;-2.028075000000e-09;-2.024031000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.300000,-3.300000,-2.032893666667e-09,6.162699913368e-12,3,-2.025505000000e-09;-2.032585000000e-09;-2.040591000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.280000,-3.280000,-2.037753666667e-09,8.433576557758e-12,3,-2.030689000000e-09;-2.032964000000e-09;-2.049608000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.260000,-3.260000,-2.021881333333e-09,9.270833847191e-12,3,-2.009746000000e-09;-2.032247000000e-09;-2.023651000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.240000,-3.240000,-2.017288333333e-09,8.297304555631e-12,3,-2.014550000000e-09;-2.028539000000e-09;-2.008776000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.220000,-3.220000,-2.020687000000e-09,6.405005282329e-12,3,-2.024325000000e-09;-2.011684000000e-09;-2.026052000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.200000,-3.200000,-2.010194666667e-09,1.152590512233e-12,3,-2.011810000000e-09;-2.009576000000e-09;-2.009198000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.180000,-3.180000,-2.018103333333e-09,2.942261526256e-12,3,-2.021671000000e-09;-2.014465000000e-09;-2.018174000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.160000,-3.160000,-2.010406000000e-09,7.378536620948e-12,3,-2.020576000000e-09;-2.003298000000e-09;-2.007344000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.140000,-3.140000,-2.013284333333e-09,9.372219137192e-12,3,-2.024029000000e-09;-2.014633000000e-09;-2.001191000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.120000,-3.120000,-2.007090333333e-09,1.405018228431e-12,3,-2.005152000000e-09;-2.007681000000e-09;-2.008438000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.100000,-3.100000,-2.009408333333e-09,9.423592957159e-12,3,-2.006333000000e-09;-1.999716000000e-09;-2.022176000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.080000,-3.080000,-2.003888333333e-09,1.170987259633e-11,3,-2.006375000000e-09;-1.988466000000e-09;-2.016824000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.060000,-3.060000,-2.000250000000e-09,2.203132466890e-12,3,-2.003003000000e-09;-2.000137000000e-09;-1.997610000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.040000,-3.040000,-2.003017666667e-09,3.942921956564e-12,3,-2.005743000000e-09;-1.997442000000e-09;-2.005868000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.020000,-3.020000,-2.000615000000e-09,3.280299173348e-12,3,-2.003383000000e-09;-2.002455000000e-09;-1.996007000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.000000,-3.000000,-2.000713333333e-09,5.815593539977e-12,3,-1.999042000000e-09;-2.008523000000e-09;-1.994575000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.980000,-2.980000,-1.984363666667e-09,9.081782876849e-12,3,-1.974518000000e-09;-1.996429000000e-09;-1.982144000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.960000,-2.960000,-1.997524666667e-09,8.579042772296e-12,3,-1.992721000000e-09;-2.009575000000e-09;-1.990278000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.940000,-2.940000,-1.987426333333e-09,4.930299945800e-12,3,-1.985937000000e-09;-1.994070000000e-09;-1.982272000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.920000,-2.920000,-1.993030333333e-09,1.338861108887e-11,3,-1.979279000000e-09;-2.011178000000e-09;-1.988634000000e-09,590,RCA 929  yellow 4.6V
4.6,-2.900000,-2.900000,-1.993522666667e-09,5.886638958032e-12,3,-2.001656000000e-09;-1.987918000000e-09;-1.990994000000e-09,590,RCA 929  yellow 4.6V
